Employment Factors				Description	Sources
Income ($)				Per capita income or total income measures the average income earned per person in a given area in a specified year. It is calculated by dividing the area's total income by its total population. Per capita income is national income divided by population size.	https://worldpopulationreview.com/country-rankings/median-income-by-country
GINI Index				The total population of a country and its related territories	https://worldpopulationreview.com/country-rankings/wealth-inequality-by-country
Unemployment %				Unemployment is measured by the number of people who are unemployed as a percentage of the labour force	https://worldpopulationreview.com/country-rankings/unemployment-by-country
Size of Labour Force				The number of people in employment is measured by the Labour Force Survey (LFS) and consists of people aged 16 and over who did paid work (as an employee or self-employed)	https://data.worldbank.org/indicator/SL.TLF.TOTL.IN
Composition of Labour Force				The labor force is the sum of employed and unemployed persons. The labor force participation rate is the labor force as a percent of the civilian noninstitutional population.	https://data.oecd.org/emp/labour-force-participation-rate.htm
Cost of Employment (LCI)				Labor costs are defined as core expenditure borne by employers for the purpose of employing staff. They include employee compensation, with wages and salaries in cash and in kind, employers' social security contributions and employment taxes regarded as labor costs minus any subsidies received.	https://ilostat.ilo.org/topics/labour-costs/
Total					
					
Economic Factors					
Economic Openness				Economic openness, in political economy, the degree to which nondomestic transactions (imports and exports) take place and affect the size and growth of a national economy. The degree of openness is measured by the actual size of registered imports and exports within a national economy, also known as the Impex rate	https://li.com/research/global-index-of-economic-openness/
Trade Openness				Trade openness is one measure of the extent to which a country is engaged in the global trading system. Trade openness is usually measured by the ratio between the sum of exports and imports and gross domestic product (GDP).	https://ourworldindata.org/grapher/trade-openness
Taxation Policy/Competitiveness				The International Tax Competitiveness Index (ITCI) seeks to measure the extent to which a country’s tax system adheres to two important aspects of tax policy: competitiveness and neutrality.	https://taxfoundation.org/publications/international-tax-competitiveness-index/
Oil Reserves Stockpiles				Measure of strategic reserves of oil pet county in barrells as well as a % of world share	https://www.worldometers.info/oil/oil-reserves-by-country/
Inflation Forecast				Inflation forecast is measured in terms of the consumer price index (CPI) or harmonised index of consumer prices (HICP) for euro area countries, the euro area aggregate and the United Kingdom. Inflation measures the general evolution of prices. It is defined as the change in the prices of a basket of goods and services that are typically purchased by households. Projections are based on an assessment of the economic climate in individual countries and the world economy, using a combination of model-based analyses and expert judgement. The indicator is expressed in annual growth rates.	https://data.oecd.org/price/inflation-forecast.htm
Current Inflation				inflation is a general increase in the prices of goods and services in an economy. When the general price level rises, each unit of currency buys fewer goods and services; consequently, inflation corresponds to a reduction in the purchasing power of money.	https://data.worldbank.org/indicator/FP.CPI.TOTL.ZG
Stock Price Volatility				Volatility is the rate at which the price of a stock increases or decreases over a particular period. Higher stock price volatility often means higher risk and helps an investor to estimate the fluctuations that may happen in the future.	https://www.theglobaleconomy.com/rankings/Stock_price_volatility/
Central Bank Intervention					
Exchange Rate Volatility				This term describes the unpredictable movement of an exchange rate. Of increase, decrease, or no change, the effect on an importer's profits if he waits to exchange currency and the foreign currency rises in value vis-à-vis the domestic currency in the meantime.	https://data.worldbank.org/indicator/PA.NUS.FCRF
Foreign Currency Reserves				 Foreign exchange reserves are assets held on reserve by a central bank in foreign currencies. These reserves are used to back liabilities and influence monetary policy. It includes any foreign money held by a central bank, such as the U.S. Federal Reserve Bank.	https://data.imf.org/?sk=E6A5F467-C14B-4AA8-9F6D-5A09EC4E62A4
Domestic Debt to GDP				The debt-to-GDP ratio is the metric comparing a country's public debt to its gross domestic product (GDP)	https://tradingeconomics.com/country-list/government-debt-to-gdp
Real Growth				Real Economic Growth Rate is the rate at which a nation's Gross Domestic product (GDP) changes/grows from one year to another. 	https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG
Trade Weighted Real Exchange Rate				The effective exchange rate is an index that describes the strength of a currency relative to a basket of other currencies. 	https://www.bis.org/statistics/eer.htm
IMF Current Program				The International Monetary Fund (IMF) is an organization of 190 countries, working to foster global monetary cooperation, secure financial stability, facilitate international trade, promote high employment and sustainable economic growth, and reduce poverty around the world.	https://www.imf.org/external/np/fin/tad/balmov2.aspx?type=TOTAL
